Feature,Accuracy Gain
scaled_value_lag_1,82.57621765136719
scaled_perc_abv_lag_1,4.7368998527526855
scaled_max_lag_1,3.380265235900879
scaled_min_lag_1,2.1536786556243896
scaled_value_lag_2,2.0514864921569824
scaled_perc_belw_lag_2,1.3145800828933716
scaled_med_lag_1,1.1840629577636719
scaled_min_lag_2,1.1620020866394043
scaled_std_dev_lag_1,1.1212472915649414
scaled_perc_abv_lag_2,1.1028770208358765
scaled_max_lag_2,1.0901689529418945
scaled_perc_belw_lag_1,1.0515522956848145
scaled_std_dev_lag_2,0.9834219813346863
scaled_med_lag_2,0.9828489422798157
scaled_mean_lag_1,0.940235435962677
scaled_mean_lag_2,0.6920015215873718
