Feature,Accuracy Gain
scaled_Max,840.1619873046875
scaled_TotalOutOfRange,723.3887329101562
scaled_CountBelow,492.2955627441406
Sex_Encoded,280.8894348144531
scaled_CountAbove,185.46340942382812
scaled_Median,168.1265411376953
scaled_StdDev,98.32222747802734
scaled_StdSecDiff,98.2224349975586
AgeGroup_Encoded,75.0799331665039
Treatment_Encoded,49.208309173583984
scaled_Mean,43.517635345458984
scaled_Min,41.1598014831543
scaled_StdFirstDiff,35.72505187988281
scaled_AvgSecDiff,25.954320907592773
scaled_AvgFirstDiff,25.931673049926758
